Company,Item,Category,Calories,Total_Fat_g,Saturated_Fat_g,Trans_Fat_g,Cholesterol_mg,Sodium_mg,Carbs_g,Fiber_g,Sugars_g,Protein_g
McDonalds,Hamburger,Sandwich,250.0,9.0,3.5,0.5,25,520,31,2,6,12.0
McDonalds,Cheeseburger,Sandwich,300.0,12.0,6.0,0.5,40,750,33,2,6,15.0
McDonalds,Double Cheeseburger,Sandwich,440.0,23.0,11.0,1.5,80,1150,34,2,7,25.0
McDonalds,McDouble,Sandwich,390.0,19.0,8.0,1.0,65,920,33,2,7,22.0
McDonalds,Quarter Pounder with Cheese,Sandwich,510.0,26.0,12.0,1.5,90,1190,40,3,9,29.0
McDonalds,Double Quarter Pounder with Cheese,Sandwich,740.0,42.0,19.0,2.5,155,1380,40,3,9,48.0
McDonalds,Big Mac,Sandwich,540.0,29.0,10.0,1.5,75,1040,45,3,9,25.0
McDonalds,Big N’ Tasty,Sandwich,460.0,24.0,8.0,1.5,70,720,37,3,8,24.0
McDonalds,Big N’ Tasty with Cheese,Sandwich,510.0,28.0,11.0,1.5,85,960,38,3,8,27.0
McDonalds,Angus Bacon & Cheese,Sandwich,790.0,39.0,17.0,2.0,145,2070,63,4,13,45.0
McDonalds,Angus Deluxe,Sandwich,750.0,39.0,16.0,2.0,135,1700,61,4,10,40.0
McDonalds,Angus Mushroom & Swiss,Sandwich,770.0,40.0,17.0,2.0,135,1170,59,4,8,44.0
McDonalds,Filet-O-Fish,Sandwich,380.0,18.0,3.5,0.0,40,640,38,2,5,15.0
McDonalds,McChicken,Sandwich,360.0,16.0,3.0,0.0,35,830,40,2,5,14.0
McDonalds,McRib,Sandwich,500.0,26.0,10.0,0.0,70,980,44,3,11,22.0
McDonalds,Premium Grilled Chicken Classic Sandwich,Sandwich,360.0,9.0,2.0,0.0,65,820,41,4,8,27.0
McDonalds,Premium Crispy Chicken Classic Sandwich,Sandwich,510.0,22.0,3.5,0.0,45,990,56,3,10,24.0
McDonalds,Premium Grilled Chicken Club Sandwich,Sandwich,460.0,17.0,6.0,0.0,90,1040,43,4,9,35.0
McDonalds,Premium Crispy Chicken Club Sandwich,Sandwich,620.0,29.0,7.0,0.0,70,1200,57,3,11,31.0
McDonalds,Premium Grilled Chicken Ranch BLT Sandwich,Sandwich,380.0,10.0,3.0,0.0,75,1000,41,4,9,31.0
McDonalds,Premium Crispy Chicken Ranch BLT Sandwich,Sandwich,540.0,23.0,4.5,0.0,55,1160,56,3,11,27.0
McDonalds,Southern Style Crispy Chicken Sandwich,Sandwich,400.0,17.0,3.0,0.0,45,1030,39,1,6,24.0
McDonalds,Ranch Snack Wrap (Crispy),Wrap,340.0,17.0,4.5,0.0,30,810,33,1,2,14.0
McDonalds,Ranch Snack Wrap (Grilled),Wrap,270.0,10.0,4.0,0.0,45,830,26,1,2,18.0
McDonalds,Honey Mustard Snack Wrap (Crispy),Wrap,330.0,16.0,4.5,0.0,30,780,34,1,4,14.0
McDonalds,Honey Mustard Snack Wrap (Grilled),Wrap,260.0,9.0,3.5,0.0,45,800,27,1,4,18.0
McDonalds,Chipotle BBQ Snack Wrap (Crispy),Wrap,330.0,15.0,4.5,0.0,30,810,35,1,4,14.0
McDonalds,Chipotle BBQ Snack Wrap (Grilled),Wrap,260.0,9.0,3.5,0.0,45,830,28,1,5,18.0
McDonalds,Angus Bacon & Cheese Snack Wrap,Wrap,390.0,21.0,9.0,1.0,75,1080,28,1,4,21.0
McDonalds,Angus Chipotle BBQ Bacon,Sandwich,800.0,39.0,18.0,2.0,145,2020,66,4,16,45.0
McDonalds,Angus Chipotle BBQ Bacon Snack Wrap,Wrap,400.0,22.0,10.0,1.0,75,1060,30,1,6,21.0
McDonalds,Angus Deluxe Snack Wrap,Wrap,410.0,25.0,10.0,1.5,75,990,27,2,3,20.0
McDonalds,Angus Mushroom & Swiss Snack Wrap,Wrap,430.0,26.0,10.0,1.5,75,730,27,2,2,22.0
McDonalds,Mac Snack Wrap,Wrap,330.0,19.0,7.0,1.0,45,690,26,1,3,15.0
McDonalds,Small French Fries,Extra,230.0,11.0,1.5,0.0,0,160,29,3,0,3.0
McDonalds,Medium French Fries,Extra,380.0,19.0,2.5,0.0,0,270,48,5,0,4.0
McDonalds,Large French Fries,Extra,500.0,25.0,3.5,0.0,0,350,63,6,0,6.0
McDonalds,Ketchup Packet,Extra,15.0,0.0,0.0,0.0,0,110,3,0,2,0.0
McDonalds,Salt Packet,Extra,0.0,0.0,0.0,0.0,0,270,0,0,0,0.0
McDonalds,Chicken McNuggets (4 piece),Extra,190.0,12.0,2.0,0.0,25,360,12,1,0,9.0
McDonalds,Chicken McNuggets (6 piece),Extra,280.0,18.0,3.0,0.0,40,540,18,1,0,13.0
McDonalds,Chicken McNuggets (10 piece),Extra,470.0,30.0,5.0,0.0,65,900,30,2,0,22.0
McDonalds,Barbeque Sauce,Extra,50.0,0.0,0.0,0.0,0,260,12,0,10,0.0
McDonalds,Honey,Extra,50.0,0.0,0.0,0.0,0,0,12,0,11,0.0
McDonalds,Hot Mustard Sauce,Extra,60.0,2.5,0.0,0.0,5,250,9,2,6,1.0
