Item,Category,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbs (g),Fiber (g),Sugars (g),Protein (g),Company
BBQ Rib,Sandwich,580,31.0,10.0,0.0,60,1260,54,3,18,21,Subway
Black Forest Ham,Sandwich,260,4.0,1.5,0.0,30,720,42,5,8,18,Subway
Chicken & Bacon Ranch Melt,Sandwich,530,26.0,10.0,0.5,100,1100,41,3,6,36,Subway
Chicken Mango Curry,Sandwich,330,7.0,1.5,0.0,50,840,43,3,9,24,Subway
Chicken Tikka,Sandwich,290,5.0,1.0,0.0,50,720,39,2,6,23,Subway
Chicken Vindaloo,Sandwich,340,9.0,1.0,0.0,50,880,42,3,7,24,Subway
Classic Tuna,Sandwich,450,25.0,4.5,0.0,40,610,38,2,5,19,Subway
Cold Cut Combo,Sandwich,320,12.0,3.5,0.0,45,1060,40,2,5,16,Subway
Genoa Salami,Sandwich,430,23.0,8.0,0.0,60,1180,40,2,5,18,Subway
Italian B.M.T.,Sandwich,380,17.0,6.0,0.0,50,1100,40,3,5,19,Subway
Meatball Marinara,Sandwich,420,18.0,7.0,1.0,40,1040,47,4,7,19,Subway
Ham & Jack Slider,Sandwich,150,4.5,2.0,0.0,20,470,18,1,1,8,Subway
Italian Spice Slider,Sandwich,230,14.0,5.0,0.0,30,690,18,1,2,8,Subway
Little Cheesesteak Slider,Sandwich,170,7.0,2.0,0.0,15,430,19,1,2,7,Subway
Little Turkey Slider,Sandwich,200,10.0,2.5,0.0,25,490,18,1,1,9,Subway
Southwest Chicken Club,Sandwich,550,27.0,9.0,0.0,95,1230,43,5,7,34,Subway
Steak Club,Sandwich,490,25.0,7.0,0.0,70,1330,40,2,6,27,Subway
Ultimate Steak,Sandwich,600,35.0,14.0,1.0,80,1330,42,3,6,31,Subway
Oven Roasted Chicken,Sandwich,260,3.5,1.0,0.0,45,520,40,5,7,23,Subway
Paneer Tikka,Sandwich,570,30.0,16.0,0.5,70,720,48,3,7,29,Subway
Roast Beef,Sandwich,280,4.5,1.5,0.0,45,630,40,6,7,25,Subway
